id,type,URL,rgb_color
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/c3c84203_6ba1_4dbd_a6ae_a3bb016bd912/mid_00382243_001.jpg,"rgb(32, 32, 32): 0.44; rgb(32, 32, 64): 0.19; rgb(0, 0, 32): 0.16; rgb(64, 64, 96): 0.14; rgb(0, 32, 32): 0.06"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/adaba422_ba36_4843_81dc_a3bb016533c4/mid_00380133_001.jpg,"rgb(160, 192, 192): 0.22; rgb(128, 160, 160): 0.14; rgb(192, 224, 224): 0.13; rgb(192, 192, 224): 0.13; rgb(0, 0, 32): 0.11; rgb(0, 32, 64): 0.10; rgb(160, 160, 160): 0.08; rgb(160, 160, 192): 0.08"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/7a47f9c5_8ff8_4d8a_a526_a3bb016bdf08/mid_00382246_001.jpg,"rgb(32, 32, 32): 0.48; rgb(0, 32, 64): 0.19; rgb(64, 32, 64): 0.18; rgb(192, 192, 192): 0.15"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/cfae6ec0_d9f3_44c8_8e4c_a3bb016c5d52/mid_00382406_001.jpg,"rgb(96, 96, 96): 0.31; rgb(64, 64, 96): 0.30; rgb(160, 160, 192): 0.14; rgb(96, 64, 96): 0.13; rgb(0, 32, 96): 0.12"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/ef68892e_2f68_4435_83fc_a3bc0069ce30/mid_00389610_001.jpg,"rgb(160, 160, 160): 0.37; rgb(128, 160, 160): 0.20; rgb(128, 128, 128): 0.18; rgb(96, 128, 128): 0.14; rgb(64, 96, 96): 0.12"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_21/fd73fbfb_48ce_4aae_953b_a3bb01653721/mid_00380189_001.jpg,"rgb(32, 32, 64): 0.68; rgb(32, 32, 32): 0.15; rgb(64, 64, 96): 0.11; rgb(64, 64, 64): 0.07"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/1c27c09b_9af1_4249_a741_a3bb017a1247/mid_00387086_001.jpg,"rgb(192, 192, 192): 0.42; rgb(160, 160, 192): 0.22; rgb(128, 128, 160): 0.21; rgb(160, 160, 160): 0.15"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_22/453c63a5_c3a7_497a_8d9e_a3bb017a962d/mid_00387166_001.jpg,"rgb(64, 64, 64): 0.48; rgb(32, 64, 64): 0.18; rgb(128, 128, 128): 0.13; rgb(32, 32, 64): 0.13; rgb(96, 96, 96): 0.08"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/6_6/2ec8fd48_a836_4758_8d44_a3bc0069c8e8/mid_00389508_001.jpg,"rgb(64, 96, 96): 0.46; rgb(96, 96, 96): 0.18; rgb(96, 96, 128): 0.16; rgb(64, 64, 96): 0.12; rgb(160, 192, 192): 0.08"
,dish,https://media.britishmuseum.org/media/Repository/Documents/2014_10/4_21/6d8ed2f8_2189_481d_9f99_a3ba0165e6b1/mid_00265199_001.jpg,"rgb(192, 192, 192): 0.31; rgb(0, 32, 64): 0.14; rgb(128, 128, 160): 0.13; rgb(160, 160, 192): 0.12; rgb(160, 160, 160): 0.11; rgb(224, 224, 224): 0.10; rgb(96, 96, 128): 0.09"
